fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2,matrícula,confianza_matrícula,mx1,my1,mx2,my2,texto_matrícula
0,bus,0.94,1,1402,52,1918,476,True,0,1896,410,1918,430,Not Found
0,car,0.85,2,1321,312,1398,371,False,,,,,,
1,bus,0.94,1,1402,56,1918,471,True,0,1883,408,1918,427,Not Found
1,car,0.82,2,1321,312,1397,371,False,,,,,,
2,bus,0.94,1,1395,63,1918,467,True,0,1865,408,1918,427,Not Found
2,car,0.82,2,1320,312,1395,371,False,,,,,,
3,bus,0.9,1,1389,67,1918,466,True,0,1853,406,1918,425,Not Found
3,car,0.84,2,1318,312,1395,371,False,,,,,,
4,bus,0.93,1,1390,72,1918,464,True,0,1839,406,1903,425,Not Found
4,car,0.82,2,1316,312,1394,371,False,,,,,,
5,bus,0.94,1,1392,76,1918,462,True,0,1821,404,1888,423,Not Found
5,car,0.81,2,1316,312,1392,370,False,,,,,,
6,bus,0.94,1,1391,79,1918,461,True,0,1808,404,1872,421,Not Found
6,car,0.8,2,1316,312,1390,370,False,,,,,,
7,bus,0.94,1,1388,84,1918,458,True,0,1794,400,1857,418,Not Found
7,car,0.79,2,1314,312,1389,369,False,,,,,,
8,bus,0.94,1,1386,88,1918,457,True,0,1778,399,1842,418,Not Found
8,car,0.79,2,1313,312,1387,368,False,,,,,,
9,bus,0.95,1,1383,92,1918,457,True,0,1769,399,1830,416,Not Found
9,car,0.81,2,1311,312,1386,368,False,,,,,,
10,bus,0.94,1,1382,96,1918,456,True,0,1756,396,1817,415,Not Found
10,car,0.81,2,1310,312,1385,367,False,,,,,,
11,bus,0.93,1,1382,97,1918,455,True,0,1745,395,1805,415,Not Found
11,car,0.79,2,1309,312,1384,368,False,,,,,,
12,bus,0.94,1,1382,101,1915,453,True,0,1733,394,1792,413,Not Found
12,car,0.79,2,1309,312,1382,368,False,,,,,,
13,bus,0.93,1,1381,104,1903,451,True,0,1723,393,1779,412,Not Found
13,car,0.8,2,1309,312,1380,368,False,,,,,,
14,bus,0.92,1,1380,107,1889,451,True,0,1713,392,1768,411,Not Found
14,car,0.78,2,1309,312,1378,368,False,,,,,,
15,bus,0.93,1,1378,111,1872,450,True,0,1703,391,1758,409,Not Found
15,car,0.78,2,1308,312,1375,367,False,,,,,,
16,bus,0.92,1,1376,114,1866,449,True,0,1693,390,1747,407,Not Found
16,car,0.79,2,1308,313,1374,367,False,,,,,,
17,bus,0.91,1,1376,117,1858,450,True,0,1683,390,1739,407,Not Found
17,car,0.78,2,1308,313,1373,366,False,,,,,,
18,bus,0.92,1,1375,121,1840,448,True,0,1675,387,1728,404,Not Found
18,car,0.77,2,1308,313,1372,367,False,,,,,,
19,bus,0.93,1,1374,125,1826,446,True,0,1667,386,1719,403,Not Found
19,car,0.79,2,1308,314,1370,367,False,,,,,,
20,bus,0.92,1,1372,127,1816,444,True,0,1658,386,1710,402,Not Found
20,car,0.76,2,1308,313,1369,368,False,,,,,,
21,bus,0.92,1,1371,132,1809,442,True,0,1651,385,1701,401,Not Found
21,car,0.74,2,1308,313,1368,368,False,,,,,,
22,bus,0.92,1,1369,135,1808,442,True,0,1642,386,1692,401,Not Found
22,car,0.75,2,1308,313,1366,367,False,,,,,,
23,bus,0.91,1,1369,140,1804,441,True,0,1633,385,1682,399,Not Found
23,car,0.72,2,1308,313,1366,366,False,,,,,,
24,bus,0.89,1,1368,142,1787,441,True,0,1627,384,1668,397,Not Found
24,car,0.71,2,1308,312,1366,366,False,,,,,,
25,bus,0.91,1,1367,143,1771,441,True,0,1619,382,1669,398,Not Found
25,car,0.71,2,1308,312,1365,366,False,,,,,,
26,bus,0.9,1,1366,145,1760,440,True,0,1612,381,1662,396,Not Found
26,car,0.69,2,1308,311,1365,365,False,,,,,,
27,bus,0.9,1,1364,148,1745,437,True,0,1605,383,1653,397,Not Found
27,car,0.68,2,1308,310,1364,366,False,,,,,,
28,bus,0.91,1,1363,150,1736,436,True,0,1600,382,1646,395,Not Found
28,car,0.65,2,1307,309,1364,365,False,,,,,,
29,bus,0.9,1,1363,152,1731,437,True,0,1593,380,1635,392,Not Found
29,car,0.63,2,1307,308,1362,365,False,,,,,,
30,bus,0.91,1,1361,153,1727,433,True,0,1587,379,1634,393,Not Found
30,car,0.62,2,1306,307,1359,364,False,,,,,,
31,bus,0.9,1,1360,155,1726,430,True,0,1582,378,1627,392,Not Found
31,car,0.64,2,1305,308,1357,363,False,,,,,,
32,bus,0.92,1,1360,158,1712,426,True,0,1576,376,1620,390,Not Found
32,car,0.65,2,1304,308,1356,363,False,,,,,,
33,bus,0.93,1,1358,160,1701,426,True,0,1570,375,1615,389,Not Found
33,car,0.63,2,1303,308,1355,363,False,,,,,,
34,bus,0.93,1,1355,161,1694,429,True,0,1565,375,1609,389,Not Found
34,car,0.62,2,1302,308,1354,363,False,,,,,,
